hourAhead, AvgClearingPrice, MinClearingPriceCount
0, NaN, 0.00
1, NaN, 0.00
2, NaN, 0.00
3, NaN, 0.00
4, NaN, 0.00
5, NaN, 0.00
6, NaN, 0.00
7, NaN, 0.00
8, NaN, 0.00
9, NaN, 0.00
10, NaN, 0.00
11, NaN, 0.00
12, NaN, 0.00
13, NaN, 0.00
14, NaN, 0.00
15, NaN, 0.00
16, NaN, 0.00
17, NaN, 0.00
18, NaN, 0.00
19, NaN, 0.00
20, NaN, 0.00
21, NaN, 0.00
22, NaN, 0.00
23, NaN, 0.00
NetUsage 0.0
Producers : 
hourAhead, AvgClearingPrice, MinClearingPriceCount
0, NaN, 0.00
1, NaN, 0.00
2, NaN, 0.00
3, NaN, 0.00
4, NaN, 0.00
5, NaN, 0.00
6, NaN, 0.00
7, NaN, 0.00
8, NaN, 0.00
9, NaN, 0.00
10, NaN, 0.00
11, NaN, 0.00
12, NaN, 0.00
13, NaN, 0.00
14, NaN, 0.00
15, NaN, 0.00
16, NaN, 0.00
17, NaN, 0.00
18, NaN, 0.00
19, NaN, 0.00
20, NaN, 0.00
21, NaN, 0.00
22, NaN, 0.00
23, NaN, 0.00
NetUsage 0.0
Producers : 
hourAhead, AvgClearingPrice, MinClearingPriceCount
0, NaN, 0.00
1, NaN, 0.00
2, NaN, 0.00
3, NaN, 0.00
4, NaN, 0.00
5, NaN, 0.00
6, NaN, 0.00
7, NaN, 0.00
8, NaN, 0.00
9, NaN, 0.00
10, NaN, 0.00
11, NaN, 0.00
12, NaN, 0.00
13, NaN, 0.00
14, NaN, 0.00
15, NaN, 0.00
16, NaN, 0.00
17, NaN, 0.00
18, NaN, 0.00
19, NaN, 0.00
20, NaN, 0.00
21, NaN, 0.00
22, NaN, 0.00
23, NaN, 0.00
NetUsage NaN
Producers : 
