hourAhead, AvgClearingPrice, AvgClearingMWh, MinClearingPriceCount
0, 33.47, 2.18, 134.00
1, 35.05, 2.22, 115.00
2, 34.40, 2.36, 81.00
3, 31.75, 2.36, 111.00
4, 33.98, 2.31, 51.00
5, 33.44, 2.58, 56.00
6, 33.21, 2.57, 59.00
7, 33.41, 2.83, 56.00
8, 32.90, 2.78, 52.00
9, 33.36, 2.82, 53.00
10, 31.93, 2.75, 62.00
11, 32.51, 2.96, 56.00
12, 32.55, 3.19, 57.00
13, 32.09, 3.01, 61.00
14, 32.91, 2.96, 47.00
15, 32.71, 3.05, 56.00
16, 32.06, 3.11, 47.00
17, 32.70, 3.28, 46.00
18, 32.88, 3.60, 62.00
19, 34.18, 4.12, 54.00
20, 35.71, 4.53, 32.00
21, 38.57, 6.34, 21.00
22, 41.15, 11.64, 10.00
23, 37.92, 768.75, 32.00
NetUsage 0.0
Producers : 
s
lmp
default broker
TacTex
ZI
ZIP
