Order : buyer,360,384,[40.75183597144248;-12.269385859090697]
Order : lmp,360,384,[-357.94239109866453;13.309131598420787]
Order : lmp,360,384,[-158.3786634328152;19.146286367167516]
Order : lmp,360,384,[-120.48590737194655;25.366532695676494]
Order : lmp,360,384,[-101.69405353113147;31.323919816746137]
Order : lmp,360,384,[-89.68220643883397;37.24810513301245]
Order : lmp,360,384,[-81.0312974852743;43.45034551800871]
Order : lmp,360,384,[-30.281625830379063;52.09386515813346]
Order : lmp,360,384,[-29.570702395160083;63.92065110910752]
Order : lmp,360,384,[-28.874714626157;76.17713871579016]
Order : lmp,360,384,[-28.139975794259712;88.16670208588779]
Order : lmp,360,384,[-27.275735383636704;100.38853420349227]
Order : lmp,360,384,[-26.796701638110214;112.16922520881079]
Order : lmp,360,384,[-25.829267462217025;124.48234017981335]
Order : lmp,360,384,[-25.146590169177585;136.35518966535906]
Order : lmp,360,384,[-24.711581157687064;148.18187982759466]
Order : lmp,360,384,[-24.151269846034527;160.1645039836755]
Order : lmp,360,384,[-24.010859452512097;172.35876239579954]
Order : lmp,360,384,[-23.284183920356565;184.39204397015797]
Order : lmp,360,384,[-23.01190003523084;196.36696245558127]
Order : lmp,360,384,[-22.53258563085684;208.50693490940026]
Order : lmp,360,384,[-22.159795920677272;220.4551465396216]
Order : lmp,360,384,[-21.765443444302637;232.41154303715368]
Order : lmp,360,384,[-21.373450502716647;244.5313987045759]
Order : lmp,360,384,[-21.142927572555557;256.2822842753788]
Order : lmp,360,384,[-20.764377177300627;268.29745805576897]
Order : lmp,360,384,[-20.49855112330806;280.50788848003987]
Order : lmp,360,384,[-20.15882314553761;292.71641875247843]
Order : lmp,360,384,[-19.986448855599228;304.7615024540949]
Order : lmp,360,384,[-19.601030239370647;316.4985332957313]
Order : lmp,360,384,[-19.36898870315874;328.6491425324082]
Order : lmp,360,384,[-19.126297682705683;340.6346294298438]
Order : lmp,360,384,[-18.813542253028583;352.74314075883325]
Order : miso,360,384,[673.7453686106045;null]
Order : default broker,360,384,[44.74537366448115;-12.809777402277241]
ClearedTrade : 361,384,[673.7453686106045;37.588703780095365]
Order : buyer,361,384,[25.324288830973945;-19.743891065894566]
Order : lmp,361,384,[-96.21191094077378;33.23340545790577]
Order : lmp,361,384,[-86.71488948844474;39.32145051146523]
Order : lmp,361,384,[-78.13064496731025;45.40484586719827]
Order : lmp,361,384,[-29.617832876041696;62.30294297424469]
Order : lmp,361,384,[-28.604162206383737;74.21991073181994]
Order : lmp,361,384,[-28.1705399114497;86.18468323139585]
Order : lmp,361,384,[-27.416066798211048;98.19298784351564]
Order : lmp,361,384,[-26.558559129602724;110.34555875145665]
Order : lmp,361,384,[-25.96482275834751;122.19721701359107]
Order : lmp,361,384,[-25.46930741770149;133.86136782331445]
Order : lmp,361,384,[-24.69533307837085;146.09577524897634]
Order : lmp,361,384,[-24.420601673027353;158.00072672644006]
Order : lmp,361,384,[-23.86480374049144;170.03975739521013]
Order : lmp,361,384,[-23.532387381508872;182.22769550723726]
Order : lmp,361,384,[-22.968301206541266;194.3125786528396]
Order : lmp,361,384,[-22.609769169921286;206.19156067211765]
Order : lmp,361,384,[-22.189753602781412;218.35181430493185]
Order : lmp,361,384,[-21.71596033895986;230.0853422669858]
Order : lmp,361,384,[-21.373065283897283;242.28520760490753]
Order : lmp,361,384,[-21.158271708819008;254.2205454950665]
Order : lmp,361,384,[-20.752948710345656;266.06447775643335]
Order : lmp,361,384,[-20.527185128872652;278.178844372634]
Order : lmp,361,384,[-20.215863975122303;290.18126192853987]
Order : lmp,361,384,[-19.82527425513493;302.19372019202865]
Order : lmp,361,384,[-19.756232818348334;314.0419782837225]
Order : lmp,361,384,[-19.41429660677498;326.1887887330229]
Order : lmp,361,384,[-19.0097226535787;338.0779789702194]
Order : lmp,361,384,[-19.174564721735216;350.04143729278127]
Order : miso,361,384,[-0.8035218758658402;null]
Order : default broker,361,384,[-4.969690000000001;27.777680884200155]
Order : Sample,361,384,[40.92903446437854;-2.0552106725401593]
ClearedTrade : 362,384,[0.8035218758658402;16.45324255491214]
Order : buyer,362,384,[94.48735124952609;-5.2917135826951]
Order : lmp,362,384,[-96.77049682071159;33.46385031296101]
Order : lmp,362,384,[-86.33256096416069;39.364424381862925]
